"","Aridity","PET","Bio06","Bio14","Bio02","Bio07","Bio15","Mid_domain","Prec_stab","Temp_stab","Topo_het","Lat_EV","Long_EV","I(Aridity^2)","I(PET^2)","I(Bio06^2)","I(Bio14^2)","I(Bio02^2)","I(Bio07^2)","I(Bio15^2)","I(Prec_stab^2)","I(Temp_stab^2)","I(Lat_EV^2)","I(Long_EV^2)"
"Aridity",1,0.620925730992407,0.421083812968463,-0.644375544444647,0.683002606219157,0.113659725620349,0.649927969893264,0.027527623199763,-0.412810923499816,-0.63571426442453,-0.256203485418583,0.390583429691732,0.634907380045187,0.996875366048693,0.593072805808823,0.358169639966295,-0.539894286179037,0.697770277158075,0.094801274512005,0.647561670844107,-0.35101934789409,-0.559985367393267,-0.0472573125608308,0.242786808110087
"PET",0.620925730992407,1,0.503904689086098,-0.881376586784842,0.230772654452154,-0.367117707304533,0.908508758634644,0.188755091047144,-0.503005027626004,-0.281628099650227,-0.0267801744868526,0.71744169532516,0.161961371785445,0.617090275287361,0.973750182350538,0.466894571120449,-0.770193728639122,0.237381573845116,-0.400423608431798,0.899934698620595,-0.383877001646362,-0.217915160840058,0.0764288304391735,0.097107877552274
"Bio06",0.421083812968463,0.503904689086098,1,-0.485543398858621,-0.339856215903278,-0.752550226910454,0.411942548825625,0.46614269141993,-0.514976733195744,0.0484981905245484,-0.225666514979541,0.755977439211729,0.229363089959066,0.426692662350366,0.489127515404426,0.984347910392347,-0.466797947812085,-0.310960797596674,-0.741004454765374,0.385137508805304,-0.3775285250469,0.184121655828062,0.473980431788186,0.309243499675886
"Bio14",-0.644375544444647,-0.881376586784842,-0.485543398858621,1,-0.261913232231297,0.348355930612229,-0.929665294715248,0.0439305834727951,0.427895799975026,0.289703223434368,0.00696283808727657,-0.666990293083236,-0.193518025944824,-0.640400261182003,-0.822821956591625,-0.421934928729043,0.961708345573572,-0.263000244526502,0.402082051156685,-0.862141588791339,0.336491027963033,0.240153319823131,0.131504367713175,-0.199763669186499
"Bio02",0.683002606219157,0.230772654452154,-0.339856215903278,-0.261913232231297,1,0.707956765155213,0.336572994440846,-0.322605116260662,-0.0462148056003469,-0.654730736669814,-0.10510121538036,-0.163687607498291,0.450800752838646,0.674216479025617,0.220511580991306,-0.382457244164073,-0.165584571852138,0.994634523110582,0.684263347288561,0.35832339838915,-0.10375843162413,-0.677347221950764,-0.403098657217834,-0.00911583027619135
"Bio07",0.113659725620349,-0.367117707304533,-0.752550226910454,0.348355930612229,0.707956765155213,1,-0.277402342692689,-0.409256950505385,0.41271627129278,-0.449688979876283,-0.0586007849698573,-0.753129905916197,0.192795985742176,0.109264628846463,-0.365806599811581,-0.779887514507709,0.373357124262311,0.68960057229904,0.993468766822991,-0.23098606470801,0.300781425538519,-0.522764067202325,-0.411260614793006,-0.0514448714456101
"Bio15",0.649927969893264,0.908508758634644,0.411942548825625,-0.929665294715248,0.336572994440846,-0.277402342692689,1,0.00754243989328621,-0.482100920957702,-0.336362749305267,0.0512526481600704,0.660271986682965,0.164601158173802,0.650549448263042,0.89526632413504,0.366568540354938,-0.823027173203998,0.342109926072343,-0.325180672489701,0.9772662207962,-0.405073410838459,-0.281795022953604,-0.127004888198686,0.140469436180765
"Mid_domain",0.027527623199763,0.188755091047144,0.46614269141993,0.0439305834727951,-0.322605116260662,-0.409256950505385,0.00754243989328621,1,-0.263522949295871,0.170347105455082,-0.0968732876875583,0.454983080828004,0.124051096819559,0.0663742124405372,0.27471897281538,0.53465460134668,0.136141618301693,-0.29002152128352,-0.373254060936048,0.111453955483844,-0.0991334361255911,0.274911532874783,0.8591629248504,0.0714124259033409
"Prec_stab",-0.412810923499816,-0.503005027626004,-0.514976733195744,0.427895799975026,-0.0462148056003469,0.41271627129278,-0.482100920957702,-0.263522949295871,1,0.291599988219886,-0.0939540701343833,-0.679722223591367,-0.131238105534287,-0.413664976876044,-0.522553447020415,-0.511717633106651,0.334888288269349,-0.0720144765089929,0.401413672718481,-0.476232513536304,0.951301291660268,0.177446113826354,-0.136029075155089,-0.045422294943918
"Temp_stab",-0.63571426442453,-0.281628099650227,0.0484981905245484,0.289703223434368,-0.654730736669814,-0.449688979876283,-0.336362749305267,0.170347105455082,0.291599988219886,1,0.212212085094528,0.148055438457826,-0.645227142600008,-0.636770110014813,-0.289988910163572,0.132038236348182,0.200019179869044,-0.661030380868889,-0.432355324615368,-0.369891311406688,0.26777367846804,0.963168719563069,0.266805731690787,-0.12247968253542
